id,date,prix,ville,nombre_lots,lot1_surface1,lot2_surface1,lot3_surface1,lot4_surface1,lot5_surface1,type,surface2,nombre_pieces,nature_culture,surface_terrain
207,2015-01-05,1100000.0,D,4,,,,,,Appartement,85.0,2.0,,
208,2016-04-21,81000.0,B,2,71.04,,,,,Appartement,68.0,4.0,,
209,2018-09-13,170000.0,B,1,104.74,,,,,Appartement,106.0,3.0,,
210,2015-04-24,182200.0,B,0,,,,,,Maison,132.0,6.0,sols,638.0
211,2019-07-06,98500.0,A,0,,,,,,Maison,87.0,5.0,sols,512.0
212,2017-04-25,165000.0,D,1,16.54,,,,,Appartement,15.0,1.0,,
213,2017-02-10,150.0,B,2,,,,,,Appartement,76.0,3.0,,
214,2019-12-05,44540.0,B,1,29.35,,,,,Appartement,29.0,2.0,,
215,2019-03-27,365000.0,B,2,,132.25,,,,Appartement,124.0,4.0,,
216,2017-03-06,220100.0,D,2,25.17,,,,,Appartement,24.0,1.0,,
217,2017-12-11,560000.0,C,2,43.8,,,,,Appartement,44.0,1.0,,
218,2018-07-31,596000.0,D,1,64.5,,,,,Appartement,68.0,4.0,,
219,2018-12-12,205000.0,B,2,34.89,65.58,,,,Appartement,65.0,2.0,,
220,2015-01-14,47000.0,B,1,,,,,,Appartement,34.0,1.0,,
221,2015-02-06,40000.0,B,1,17.78,,,,,Appartement,20.0,1.0,,
222,2016-08-23,1478500.0,D,3,,148.26,,,,Appartement,143.0,5.0,,
223,2016-09-15,441265.0,D,1,,,,,,Appartement,35.0,1.0,,
224,2015-06-22,20000.0,B,1,,,,,,Local industriel. commercial ou assimilé,35.0,0.0,,
225,2017-09-13,405000.0,B,0,,,,,,Maison,150.0,5.0,sols,1112.0
226,2016-07-27,138000.0,B,0,,,,,,Maison,80.0,4.0,sols,387.0
227,2018-09-04,577000.0,C,2,,,,,,Appartement,34.0,1.0,,
228,2017-01-10,41000.0,D,1,,,,,,Dépendance,,0.0,,
229,2017-06-30,90000.0,B,0,,,,,,Maison,75.0,1.0,sols,320.0
230,2015-12-02,78800.0,B,2,,72.71,,,,Appartement,70.0,4.0,,
231,2018-03-22,45000.0,D,1,,,,,,Dépendance,,0.0,,
232,2015-11-19,70000.0,C,1,,,,,,Dépendance,,0.0,,
233,2016-11-04,4000.0,C,1,,,,,,Appartement,40.0,2.0,,
234,2018-02-12,1392200.0,C,2,77.4,,,,,Appartement,78.0,3.0,,
235,2017-05-29,44000.0,D,1,,,,,,Dépendance,,0.0,,
236,2019-02-27,70000.0,B,2,,,,,,Appartement,89.0,5.0,,
237,2019-11-28,1160000.0,D,2,,87.31,,,,Appartement,89.0,3.0,,
238,2018-10-31,53500.0,B,1,23.84,,,,,Appartement,26.0,1.0,,
239,2018-09-17,560000.0,C,2,,,,,,Appartement,44.0,3.0,,
240,2019-04-29,10900000.0,D,0,,,,,,Local industriel. commercial ou assimilé,480.0,0.0,sols,350.0
241,2017-06-19,1343500.0,D,3,139.1,139.1,,,,Appartement,139.0,4.0,,
242,2018-04-10,941850.0,D,1,71.8,,,,,Appartement,76.0,1.0,,
243,2016-12-08,121000.0,D,1,10.1,,,,,Dépendance,,0.0,,
244,2018-07-24,517000.0,D,1,46.58,,,,,Local industriel. commercial ou assimilé,47.0,0.0,,
245,2018-03-02,24000.0,D,1,,,,,,Dépendance,,0.0,,
246,2016-08-17,68500.0,B,2,60.3,,,,,Appartement,61.0,3.0,,
247,2017-12-09,164000.0,B,0,,,,,,Maison,75.0,4.0,sols,454.0
248,2019-01-14,25000.0,D,1,5.25,,,,,Dépendance,,0.0,,
249,2019-11-25,990000.0,D,2,70.86,,,,,Appartement,72.0,3.0,,
250,2018-05-24,285000.0,D,4,,,,,,Local industriel. commercial ou assimilé,51.0,0.0,,
251,2015-07-30,577500.0,D,2,,,,,,Appartement,70.0,3.0,,
252,2016-06-28,800000.0,D,2,,105.25,,,,Appartement,210.0,7.0,,
253,2017-03-31,655000.0,D,2,,74.86,,,,Appartement,66.0,3.0,,
254,2017-03-30,1865000.0,C,3,173.65,,,,,Appartement,173.0,6.0,,
255,2015-10-09,545950.0,D,1,53.1,,,,,Appartement,55.0,2.0,,
256,2016-10-05,385000.0,D,2,43.67,,,,,Appartement,45.0,2.0,,
257,2016-12-28,50000.0,C,2,,,,,,Appartement,23.0,1.0,,
258,2019-01-14,85000.0,A,0,,,,,,Maison,106.0,5.0,sols,388.0
259,2016-09-01,126000.0,D,1,,,,,,Appartement,11.0,1.0,,
260,2018-10-31,1100000.0,C,1,103.66,,,,,Local industriel. commercial ou assimilé,110.0,0.0,,
261,2015-09-18,194490.0,D,1,24.22,,,,,Appartement,32.0,1.0,,
262,2015-12-30,731650.0,D,1,85.26,,,,,Appartement,84.0,5.0,,
263,2016-02-23,370000.0,D,2,36.09,,,,,Appartement,36.0,2.0,,
264,2018-03-01,1503500.0,D,4,,,,,,Appartement,116.0,4.0,,
265,2018-10-25,327900.0,D,3,,30.26,,,,Appartement,32.0,2.0,,
266,2018-12-18,97000.0,B,2,64.17,,,,,Appartement,70.0,3.0,,
267,2019-09-30,160000.0,C,1,,,,,,Dépendance,,0.0,,
268,2016-01-22,1980000.0,C,2,,68.08,,,,Appartement,71.0,2.0,,
269,2016-06-17,140000.0,B,0,,,,,,Maison,105.0,5.0,sols,427.0
270,2016-02-29,1352657.0,D,2,,136.1,,,,Appartement,135.0,4.0,,
271,2019-01-16,107000.0,A,0,,,,,,Maison,86.0,4.0,sols,542.0
272,2016-11-18,30726.3,A,0,,,,,,Maison,85.0,4.0,sols,532.0
273,2017-12-09,40100.0,B,1,43.45,,,,,Appartement,46.0,2.0,,
274,2019-05-29,578000.0,D,4,55.78,,,,,Local industriel. commercial ou assimilé,55.0,0.0,,
275,2019-04-16,78100.0,D,1,,,,,,Appartement,70.0,3.0,,
276,2019-06-15,69000.0,B,2,,,,,,Appartement,55.0,3.0,,
277,2019-06-21,4500.0,D,1,,,,,,Appartement,74.0,3.0,,
278,2017-10-10,77000.0,A,0,,,,,,Maison,85.0,4.0,sols,282.0
